Matrícula,Avaliação 1,Avaliação 2,Lista,ResFinal,Faltas
2028972,,,,,
2030411,,,,,
1862863,,,,,
2029448,,,,,
1458884,,,,,
1557645,,,,,
1937928,,,,,
2024721,,,,,
1862952,,,,,
1439596,,,,,
1906194,,,,,
1937774,,,,,
2024810,,,,,
1939165,,,,,
1984756,,,,,
